url,type,conflicting_url,is_valid_url,domain,tld,domain_owner,e_count,rank
br-icloud.com.br,phishing,0,1,br-icloud.com.br,com.br,Unknown Owner,0,2
mp3raid.com/music/krizz_kaliko.html,benign,0,1,mp3raid.com,com,WHOIS Lookup Failed,0,1
bopsecrets.org/rexroth/cr/1.htm,benign,0,1,bopsecrets.org,org,REDACTED FOR PRIVACY,2,1
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,0,1,www.garage-pirenne.be,be,WHOIS Lookup Failed,4,3
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement,0,1,adventure-nicaragua.net,net,Unknown Owner,3,3
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,0,1,buzzfil.net,net,REDACTED FOR PRIVACY,1,1
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,0,1,espn.go.com,com,"Disney Enterprises, Inc.",1,1
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,0,1,yourbittorrent.com,com,WHOIS Lookup Failed,1,1
http://www.pashminaonline.com/pure-pashminas,defacement,0,1,www.pashminaonline.com,com,WHOIS Lookup Failed,1,3
allmusic.com/album/crazy-from-the-heat-r16990,benign,0,1,allmusic.com,com,Unknown Owner,0,1
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,0,1,corporationwiki.com,com,WHOIS Lookup Failed,0,1
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,0,1,www.ikenmijnkunst.nl,nl,Unknown Owner,1,3
myspace.com/video/vid/30602581,benign,0,1,myspace.com,com,WHOIS Lookup Failed,1,1
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,0,1,www.lebensmittel-ueberwachung.de,de,WHOIS Lookup Failed,6,3
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,0,1,www.szabadmunkaero.hu,hu,Unknown Owner,1,3
http://larcadelcarnevale.com/catalogo/palloncini,defacement,0,1,larcadelcarnevale.com,com,WHOIS Lookup Failed,3,3
quickfacts.census.gov/qfd/maps/iowa_map.html,benign,0,1,quickfacts.census.gov,gov,REDACTED FOR PRIVACY,1,1
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,0,1,nugget.ca,ca,Unknown Owner,1,1
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,0,1,uk.linkedin.com,com,LinkedIn Corporation,1,1
http://www.vnic.co/khach-hang.html,defacement,0,1,www.vnic.co,co,CONG TY TNHH TU VAN DAU TU VIET NAM,0,3
baseball-reference.com/players/h/harrige01.shtml,benign,0,1,baseball-reference.com,com,WHOIS Lookup Failed,5,1
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing,0,1,signin.eby.de.zukruygxctzmmqi.civpro.co.za,co.za,WHOIS Lookup Failed,2,2
192.com/atoz/people/oakley/patrick/,benign,0,1,192.com,com,"Domains By Proxy, LLC",0,1
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign,0,1,nytimes.com,com,WHOIS Lookup Failed,1,1
escholarship.org/uc/item/5xt4952c,benign,0,1,escholarship.org,org,WHOIS Lookup Failed,1,1
songfacts.com/detail.php?id=13410,benign,0,1,songfacts.com,com,WHOIS Lookup Failed,0,1
casamanana.org/education/blba/,benign,0,1,casamanana.org,org,WHOIS Lookup Failed,0,1
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign,0,1,hollywoodlife.com,com,WHOIS Lookup Failed,1,1
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing,0,1,www.marketingbyinternet.com,com,WHOIS Lookup Failed,3,2
en.wikipedia.org/wiki/North_Dakota,benign,0,1,en.wikipedia.org,org,WHOIS Lookup Failed,2,1
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign,0,1,soaps.sheknows.com,com,WHOIS Lookup Failed,1,1
